concept,concept_type,name,name_short,name_catalog,unit,description,tags,domain,source_url,indicator_url
losn_farl,measure,Lösningsmedelsavfall (Farligt avfall (ton)),Lösningsmedelsavfall,Lösningsmedelsavfall,ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
losn_icke_farl,measure,Lösningsmedelsavfall (Icke-farligt avfall (ton)),Lösningsmedelsavfall,Lösningsmedelsavfall,ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,ej_farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
surt_farl,measure,Surt: alkaliskt eller salthaltigt avfall (Farligt avfall (ton)),Surt: alkaliskt eller salthaltigt avfall,Surt: alkaliskt eller salthaltigt avfall,ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
surt_icke_farl,measure,Surt: alkaliskt eller salthaltigt avfall (Icke-farligt avfall (ton)),Surt: alkaliskt eller salthaltigt avfall,Surt: alkaliskt eller salthaltigt avfall,ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,ej_farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
olje_farl,measure,Oljeavfall (Farligt avfall (ton)),Oljeavfall,Oljeavfall,ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
olje_icke_farl,measure,Oljeavfall (Icke-farligt avfall (ton)),Oljeavfall,Oljeavfall,ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,ej_farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
kem_farl,measure,Kemiska rester (Farligt avfall (ton)),Kemiska rester,Kemiska rester,ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
kem_icke_farl,measure,Kemiska rester (Icke-farligt avfall (ton)),Kemiska rester,Kemiska rester,ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,ej_farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
avlopp_farl,measure,Avloppsslam från industrier (torrvikt) (Farligt avfall (ton)),Avloppsslam från industrier (torrvikt),Avloppsslam från industrier (torrvikt),ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
avlopp_icke_farl,measure,Avloppsslam från industrier (torrvikt) (Icke-farligt avfall (ton)),Avloppsslam från industrier (torrvikt),Avloppsslam från industrier (torrvikt),ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,ej_farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
slam_farl,measure,Slam och vätskor från avfallshantering (torrvikt) (Farligt avfall (ton)),Slam och vätskor från avfallshantering (torrvikt),Slam och vätskor från avfallshantering (torrvikt),ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
slam_icke_farl,measure,Slam och vätskor från avfallshantering (torrvikt) (Icke-farligt avfall (ton)),Slam och vätskor från avfallshantering (torrvikt),Slam och vätskor från avfallshantering (torrvikt),ton,Icke-blandat avfall & Icke-gruvavfall.  Källa: Naturvårdsverket,ej_farligt,,https://www.naturvardsverket.se/,https://www.naturvardsverket.se/
