sni_id,lan,year,netto_bio
totalt_tota,1,2008,105471.801059
totalt_tota,1,2009,109615.238057
totalt_tota,1,2010,119186.037113
totalt_tota,1,2011,119139.208086
totalt_tota,1,2012,120967.054149
totalt_tota,1,2013,112738.489923
totalt_tota,1,2014,115240.822242
totalt_tota,1,2015,123175.685629
totalt_tota,1,2016,130185.726983
totalt_tota,1,2017,140908.499276
totalt_tota,1,2018,152344.496829
totalt_tota,1,2019,163534.898991
marknadsproduktion_varo,1,2008,101572.60194
marknadsproduktion_varo,1,2009,105708.96212
marknadsproduktion_varo,1,2010,115025.66594
marknadsproduktion_varo,1,2011,114609.90244
marknadsproduktion_varo,1,2012,116261.89098
marknadsproduktion_varo,1,2013,107898.16839
marknadsproduktion_varo,1,2014,110301.12635
marknadsproduktion_varo,1,2015,117863.25778
marknadsproduktion_varo,1,2016,124500.90273
marknadsproduktion_varo,1,2017,134869.2518
marknadsproduktion_varo,1,2018,145982.48998
marknadsproduktion_varo,1,2019,157270.19094
marknadsproduktion_tjan,1,2008,3899.199119
marknadsproduktion_tjan,1,2009,3906.275937
marknadsproduktion_tjan,1,2010,4160.371173
marknadsproduktion_tjan,1,2011,4529.305646
marknadsproduktion_tjan,1,2012,4705.163169
marknadsproduktion_tjan,1,2013,4840.321533
marknadsproduktion_tjan,1,2014,4939.695892
marknadsproduktion_tjan,1,2015,5312.427849
marknadsproduktion_tjan,1,2016,5684.824253
marknadsproduktion_tjan,1,2017,6039.247476
marknadsproduktion_tjan,1,2018,6362.006849
marknadsproduktion_tjan,1,2019,6264.708051
offentl_mynd,1,2008,
offentl_mynd,1,2009,
offentl_mynd,1,2010,
offentl_mynd,1,2011,
offentl_mynd,1,2012,
offentl_mynd,1,2013,
offentl_mynd,1,2014,
offentl_mynd,1,2015,
offentl_mynd,1,2016,
offentl_mynd,1,2017,
offentl_mynd,1,2018,
offentl_mynd,1,2019,
privat_kons,1,2008,
privat_kons,1,2009,
privat_kons,1,2010,
privat_kons,1,2011,
privat_kons,1,2012,
privat_kons,1,2013,
privat_kons,1,2014,
privat_kons,1,2015,
privat_kons,1,2016,
privat_kons,1,2017,
privat_kons,1,2018,
privat_kons,1,2019,
bransch_ospe,1,2008,
bransch_ospe,1,2009,
bransch_ospe,1,2010,
bransch_ospe,1,2011,
bransch_ospe,1,2012,
bransch_ospe,1,2013,
bransch_ospe,1,2014,
bransch_ospe,1,2015,
bransch_ospe,1,2016,
bransch_ospe,1,2017,
bransch_ospe,1,2018,
bransch_ospe,1,2019,
totalt_tota,2,2008,18690.810575
totalt_tota,2,2009,18817.251133
totalt_tota,2,2010,20922.519508
totalt_tota,2,2011,21147.601096
totalt_tota,2,2012,22473.396277
totalt_tota,2,2013,22135.240335
totalt_tota,2,2014,22522.478379
totalt_tota,2,2015,23512.531439
totalt_tota,2,2016,24836.728882
totalt_tota,2,2017,24284.126451
totalt_tota,2,2018,25849.606011
totalt_tota,2,2019,27377.084883
marknadsproduktion_varo,2,2008,18498.38514
marknadsproduktion_varo,2,2009,18630.0156
marknadsproduktion_varo,2,2010,20725.08794
marknadsproduktion_varo,2,2011,20932.213
marknadsproduktion_varo,2,2012,22254.108
marknadsproduktion_varo,2,2013,21902.20842
marknadsproduktion_varo,2,2014,22281.72966
marknadsproduktion_varo,2,2015,23239.10045
marknadsproduktion_varo,2,2016,24538.94779
marknadsproduktion_varo,2,2017,23963.21365
marknadsproduktion_varo,2,2018,25479.82127
marknadsproduktion_varo,2,2019,26976.25653
marknadsproduktion_tjan,2,2008,192.425435
marknadsproduktion_tjan,2,2009,187.235533
marknadsproduktion_tjan,2,2010,197.431568
marknadsproduktion_tjan,2,2011,215.388096
marknadsproduktion_tjan,2,2012,219.288277
marknadsproduktion_tjan,2,2013,233.031915
marknadsproduktion_tjan,2,2014,240.748719
