sni_id,lan,year,foradl_bio
totalt_tota,1,2008,33479.328
totalt_tota,1,2009,36654.065
totalt_tota,1,2010,37162.252
totalt_tota,1,2011,38460.351
totalt_tota,1,2012,39594.16
totalt_tota,1,2013,38031.115
totalt_tota,1,2014,37320.558
totalt_tota,1,2015,40496.657
totalt_tota,1,2016,42932.63
totalt_tota,1,2017,43816.949
totalt_tota,1,2018,45671.742
totalt_tota,1,2019,48688.267
marknadsproduktion_varo,1,2008,31947.13
marknadsproduktion_varo,1,2009,35138.19
marknadsproduktion_varo,1,2010,35527.07
marknadsproduktion_varo,1,2011,36673.27
marknadsproduktion_varo,1,2012,37754.22
marknadsproduktion_varo,1,2013,36082.84
marknadsproduktion_varo,1,2014,35257.8
marknadsproduktion_varo,1,2015,38290.68
marknadsproduktion_varo,1,2016,40550.11
marknadsproduktion_varo,1,2017,41361.48
marknadsproduktion_varo,1,2018,43094.33
marknadsproduktion_varo,1,2019,46029.1
marknadsproduktion_tjan,1,2008,1532.198
marknadsproduktion_tjan,1,2009,1515.875
marknadsproduktion_tjan,1,2010,1635.182
marknadsproduktion_tjan,1,2011,1787.081
marknadsproduktion_tjan,1,2012,1839.94
marknadsproduktion_tjan,1,2013,1948.275
marknadsproduktion_tjan,1,2014,2062.758
marknadsproduktion_tjan,1,2015,2205.977
marknadsproduktion_tjan,1,2016,2382.52
marknadsproduktion_tjan,1,2017,2455.469
marknadsproduktion_tjan,1,2018,2577.412
marknadsproduktion_tjan,1,2019,2659.167
offentl_mynd,1,2008,0
offentl_mynd,1,2009,0
offentl_mynd,1,2010,0
offentl_mynd,1,2011,0
offentl_mynd,1,2012,0
offentl_mynd,1,2013,0
offentl_mynd,1,2014,0
offentl_mynd,1,2015,0
offentl_mynd,1,2016,0
offentl_mynd,1,2017,0
offentl_mynd,1,2018,0
offentl_mynd,1,2019,0
privat_kons,1,2008,
privat_kons,1,2009,
privat_kons,1,2010,
privat_kons,1,2011,
privat_kons,1,2012,
privat_kons,1,2013,
privat_kons,1,2014,
privat_kons,1,2015,
privat_kons,1,2016,
privat_kons,1,2017,
privat_kons,1,2018,
privat_kons,1,2019,
bransch_ospe,1,2008,0
bransch_ospe,1,2009,0
bransch_ospe,1,2010,0
bransch_ospe,1,2011,0
bransch_ospe,1,2012,0
bransch_ospe,1,2013,0
bransch_ospe,1,2014,0
bransch_ospe,1,2015,0
bransch_ospe,1,2016,0
bransch_ospe,1,2017,0
bransch_ospe,1,2018,0
bransch_ospe,1,2019,0
totalt_tota,2,2008,7595.582
totalt_tota,2,2009,7566.904
totalt_tota,2,2010,8989.442
totalt_tota,2,2011,8975.415
totalt_tota,2,2012,8457.921
totalt_tota,2,2013,8380.257
totalt_tota,2,2014,8569.246
totalt_tota,2,2015,8787.461
totalt_tota,2,2016,8887.442
totalt_tota,2,2017,9915.34
totalt_tota,2,2018,9859.452
totalt_tota,2,2019,10951.213
marknadsproduktion_varo,2,2008,7501.6
marknadsproduktion_varo,2,2009,7466.3
marknadsproduktion_varo,2,2010,8881.72
marknadsproduktion_varo,2,2011,8859.44
marknadsproduktion_varo,2,2012,8338.12
marknadsproduktion_varo,2,2013,8248.65
marknadsproduktion_varo,2,2014,8439.1
marknadsproduktion_varo,2,2015,8636.15
marknadsproduktion_varo,2,2016,8724.7
marknadsproduktion_varo,2,2017,9742.29
marknadsproduktion_varo,2,2018,9658.29
marknadsproduktion_varo,2,2019,10745.44
marknadsproduktion_tjan,2,2008,93.982
marknadsproduktion_tjan,2,2009,100.604
