sni_id,lan,year,vaxthusg
totalt_tota,1,2008,10415
totalt_tota,1,2009,10158
totalt_tota,1,2010,9813
totalt_tota,1,2011,8651
totalt_tota,1,2012,8573
totalt_tota,1,2013,8890
totalt_tota,1,2014,9217
totalt_tota,1,2015,10112
totalt_tota,1,2016,10307
totalt_tota,1,2017,9426
totalt_tota,1,2018,9350
totalt_tota,1,2019,8759
marknadsproduktion_varo,1,2008,3076
marknadsproduktion_varo,1,2009,2958
marknadsproduktion_varo,1,2010,3145
marknadsproduktion_varo,1,2011,2690
marknadsproduktion_varo,1,2012,2467
marknadsproduktion_varo,1,2013,2507
marknadsproduktion_varo,1,2014,2417
marknadsproduktion_varo,1,2015,2518
marknadsproduktion_varo,1,2016,2311
marknadsproduktion_varo,1,2017,2194
marknadsproduktion_varo,1,2018,2240
marknadsproduktion_varo,1,2019,1948
marknadsproduktion_tjan,1,2008,5440
marknadsproduktion_tjan,1,2009,5291
marknadsproduktion_tjan,1,2010,4804
marknadsproduktion_tjan,1,2011,4227
marknadsproduktion_tjan,1,2012,4413
marknadsproduktion_tjan,1,2013,4714
marknadsproduktion_tjan,1,2014,5119
marknadsproduktion_tjan,1,2015,5893
marknadsproduktion_tjan,1,2016,6338
marknadsproduktion_tjan,1,2017,5608
marknadsproduktion_tjan,1,2018,5532
marknadsproduktion_tjan,1,2019,5262
offentl_mynd,1,2008,126
offentl_mynd,1,2009,136
offentl_mynd,1,2010,131
offentl_mynd,1,2011,123
offentl_mynd,1,2012,128
offentl_mynd,1,2013,118
offentl_mynd,1,2014,115
offentl_mynd,1,2015,114
offentl_mynd,1,2016,113
offentl_mynd,1,2017,108
offentl_mynd,1,2018,96
offentl_mynd,1,2019,103
privat_kons,1,2008,1772
privat_kons,1,2009,1773
privat_kons,1,2010,1733
privat_kons,1,2011,1611
privat_kons,1,2012,1564
privat_kons,1,2013,1552
privat_kons,1,2014,1566
privat_kons,1,2015,1588
privat_kons,1,2016,1545
privat_kons,1,2017,1516
privat_kons,1,2018,1483
privat_kons,1,2019,1446
bransch_ospe,1,2008,
bransch_ospe,1,2009,
bransch_ospe,1,2010,
bransch_ospe,1,2011,
bransch_ospe,1,2012,
bransch_ospe,1,2013,
bransch_ospe,1,2014,
bransch_ospe,1,2015,
bransch_ospe,1,2016,
bransch_ospe,1,2017,
bransch_ospe,1,2018,
bransch_ospe,1,2019,
totalt_tota,2,2008,1462
totalt_tota,2,2009,1430
totalt_tota,2,2010,1872
totalt_tota,2,2011,1667
totalt_tota,2,2012,1556
totalt_tota,2,2013,1561
totalt_tota,2,2014,1440
totalt_tota,2,2015,1446
totalt_tota,2,2016,1461
totalt_tota,2,2017,1385
totalt_tota,2,2018,1470
totalt_tota,2,2019,1350
marknadsproduktion_varo,2,2008,818
marknadsproduktion_varo,2,2009,801
marknadsproduktion_varo,2,2010,1240
marknadsproduktion_varo,2,2011,1064
marknadsproduktion_varo,2,2012,985
marknadsproduktion_varo,2,2013,1000
marknadsproduktion_varo,2,2014,894
marknadsproduktion_varo,2,2015,898
marknadsproduktion_varo,2,2016,936
marknadsproduktion_varo,2,2017,871
marknadsproduktion_varo,2,2018,967
marknadsproduktion_varo,2,2019,862
marknadsproduktion_tjan,2,2008,222
marknadsproduktion_tjan,2,2009,207
marknadsproduktion_tjan,2,2010,216
marknadsproduktion_tjan,2,2011,213
marknadsproduktion_tjan,2,2012,194
marknadsproduktion_tjan,2,2013,188
marknadsproduktion_tjan,2,2014,179
marknadsproduktion_tjan,2,2015,170
marknadsproduktion_tjan,2,2016,158
marknadsproduktion_tjan,2,2017,155
marknadsproduktion_tjan,2,2018,154
marknadsproduktion_tjan,2,2019,148
offentl_mynd,2,2008,21
offentl_mynd,2,2009,20
offentl_mynd,2,2010,20
offentl_mynd,2,2011,19
offentl_mynd,2,2012,20
offentl_mynd,2,2013,18
offentl_mynd,2,2014,17
offentl_mynd,2,2015,19
offentl_mynd,2,2016,18
offentl_mynd,2,2017,17
offentl_mynd,2,2018,15
offentl_mynd,2,2019,16
privat_kons,2,2008,402
privat_kons,2,2009,402
privat_kons,2,2010,395
privat_kons,2,2011,371
privat_kons,2,2012,358
privat_kons,2,2013,355
privat_kons,2,2014,351
privat_kons,2,2015,359
privat_kons,2,2016,349
