sni_id,lan,year,ant_ny
jord_skog,1,2023,125
jord_skog,1,2022,156
jord_skog,1,2021,206
jord_skog,1,2020,143
jord_skog,1,2019,113
jord_skog,1,2018,131
jord_skog,1,2017,115
jord_skog,1,2016,135
jord_skog,1,2015,129
jord_skog,1,2014,163
jord_skog,1,2013,111
jord_skog,1,2012,131
jord_skog,1,2011,141
tillverkning,1,2023,544
tillverkning,1,2022,589
tillverkning,1,2021,689
tillverkning,1,2020,741
tillverkning,1,2019,572
tillverkning,1,2018,604
tillverkning,1,2017,634
tillverkning,1,2016,693
tillverkning,1,2015,675
tillverkning,1,2014,630
tillverkning,1,2013,614
tillverkning,1,2012,599
tillverkning,1,2011,700
bygg,1,2023,1680
bygg,1,2022,1992
bygg,1,2021,2189
bygg,1,2020,1956
bygg,1,2019,1656
bygg,1,2018,1738
bygg,1,2017,1901
bygg,1,2016,2031
bygg,1,2015,2044
bygg,1,2014,2081
bygg,1,2013,1987
bygg,1,2012,1921
bygg,1,2011,2309
handel_med,1,2023,305
handel_med,1,2022,272
handel_med,1,2021,341
handel_med,1,2020,379
handel_med,1,2019,275
handel_med,1,2018,314
handel_med,1,2017,299
handel_med,1,2016,309
handel_med,1,2015,324
handel_med,1,2014,309
handel_med,1,2013,273
handel_med,1,2012,282
handel_med,1,2011,309
parti_prov,1,2023,511
parti_prov,1,2022,525
parti_prov,1,2021,686
parti_prov,1,2020,641
parti_prov,1,2019,598
parti_prov,1,2018,627
parti_prov,1,2017,682
parti_prov,1,2016,792
parti_prov,1,2015,808
parti_prov,1,2014,926
parti_prov,1,2013,938
parti_prov,1,2012,965
parti_prov,1,2011,990
detaljhandel_ut_mot,1,2023,1738
detaljhandel_ut_mot,1,2022,1803
detaljhandel_ut_mot,1,2021,2059
detaljhandel_ut_mot,1,2020,1855
detaljhandel_ut_mot,1,2019,1350
detaljhandel_ut_mot,1,2018,1330
detaljhandel_ut_mot,1,2017,1346
detaljhandel_ut_mot,1,2016,1524
detaljhandel_ut_mot,1,2015,1565
detaljhandel_ut_mot,1,2014,1614
detaljhandel_ut_mot,1,2013,1536
detaljhandel_ut_mot,1,2012,1406
detaljhandel_ut_mot,1,2011,1537
transport_mag,1,2023,844
transport_mag,1,2022,989
transport_mag,1,2021,1171
transport_mag,1,2020,1004
transport_mag,1,2019,781
transport_mag,1,2018,708
transport_mag,1,2017,721
transport_mag,1,2016,734
transport_mag,1,2015,562
transport_mag,1,2014,564
transport_mag,1,2013,470
transport_mag,1,2012,468
transport_mag,1,2011,588
hotell_logi,1,2023,59
hotell_logi,1,2022,49
hotell_logi,1,2021,50
hotell_logi,1,2020,30
hotell_logi,1,2019,64
hotell_logi,1,2018,51
hotell_logi,1,2017,52
hotell_logi,1,2016,46
hotell_logi,1,2015,54
hotell_logi,1,2014,50
hotell_logi,1,2013,45
hotell_logi,1,2012,34
hotell_logi,1,2011,47
restaurang_cate,1,2023,527
restaurang_cate,1,2022,577
restaurang_cate,1,2021,622
restaurang_cate,1,2020,618
restaurang_cate,1,2019,611
restaurang_cate,1,2018,609
restaurang_cate,1,2017,684
restaurang_cate,1,2016,691
restaurang_cate,1,2015,673
restaurang_cate,1,2014,763
restaurang_cate,1,2013,698
restaurang_cate,1,2012,686
restaurang_cate,1,2011,755
forlag_radi,1,2023,788
forlag_radi,1,2022,953
forlag_radi,1,2021,1010
forlag_radi,1,2020,897
forlag_radi,1,2019,813
forlag_radi,1,2018,755
forlag_radi,1,2017,788
forlag_radi,1,2016,788
forlag_radi,1,2015,757
forlag_radi,1,2014,796
forlag_radi,1,2013,789
forlag_radi,1,2012,842
forlag_radi,1,2011,869
dataprogrammering_data,1,2023,1456
dataprogrammering_data,1,2022,1667
dataprogrammering_data,1,2021,1621
dataprogrammering_data,1,2020,1627
dataprogrammering_data,1,2019,1515
dataprogrammering_data,1,2018,1709
dataprogrammering_data,1,2017,1568
dataprogrammering_data,1,2016,1570
dataprogrammering_data,1,2015,1510
dataprogrammering_data,1,2014,1465
dataprogrammering_data,1,2013,1323
dataprogrammering_data,1,2012,1325
dataprogrammering_data,1,2011,1524
finans_fors,1,2023,1266
finans_fors,1,2022,1764
finans_fors,1,2021,1803
finans_fors,1,2020,1512
finans_fors,1,2019,1530
finans_fors,1,2018,1465
finans_fors,1,2017,1470
finans_fors,1,2016,1594
finans_fors,1,2015,1405
finans_fors,1,2014,1257
finans_fors,1,2013,1004
finans_fors,1,2012,1071
finans_fors,1,2011,1070
juridisk_ek,1,2023,2820
juridisk_ek,1,2022,3248
juridisk_ek,1,2021,3253
juridisk_ek,1,2020,3142
juridisk_ek,1,2019,3082
juridisk_ek,1,2018,3142
juridisk_ek,1,2017,3122
juridisk_ek,1,2016,3122
juridisk_ek,1,2015,2973
juridisk_ek,1,2014,3087
juridisk_ek,1,2013,2884
juridisk_ek,1,2012,2929
juridisk_ek,1,2011,3089
